Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
"Architecture Teachers, Postsecondary",25-1031.00,4.12,5,4,4.38,4,5,4.12,4.88,2.88,3.75,2.38,2.62,3.88,4.38,3.88,4.5,4.12,4.38,3.75,4.12,3.62,3.62,3.25,3.12,3,3,3,3,4.12,4.88,3.12,3.25,3.62,4.25,3.12,3.12,1.75,0.88,1.12,0.38,1,0,1.88,1,1.88,1.25,1.25,0.5,1,0,1.25,0.38,1,0,2,1.25,3.88,4.12,3.25,3.25,3.25,3.5,3.25,3.5,1.75,1.12,2,2,2.75,3
"Engineering Teachers, Postsecondary",25-1032.00,4,4.88,4,4.12,3.88,4.75,4.12,4.88,3.88,4.5,3.5,3.62,3.88,4.12,3.62,4.12,4.12,4.25,3.38,4.12,3,3.5,3.12,3,2.88,2.88,2.88,3,4.12,4.62,2.75,2.88,3.25,3.38,2.75,2.88,1.88,1.88,1.12,0.38,1,0,2,1.62,1.88,1.88,1.5,0.62,1,0,1.38,0.5,1,0,2,1.5,3.75,4,3.12,3.38,3.12,3.38,3.12,3,1.75,1.25,1.75,1.25,2.75,2.75
"Agricultural Sciences Teachers, Postsecondary",25-1041.00,4.12,5,4,4.62,4,5,4.12,5,3,3.25,3.5,3.62,4,4.12,4,4.5,4.12,4.62,3.88,4.25,3.12,3.38,3.5,3.25,2.75,2.88,2.5,2.62,4.38,4.75,2.88,3,3.62,3.88,1.75,1.5,1.75,0.75,1,0,1,0,1.75,0.88,2,1.38,1.88,1.12,1,0,1.75,0.88,1,0,2,1.88,3.75,4,2.88,3.25,3.12,3.38,3.38,3.5,1.75,1.25,1.88,1.75,2.75,2.88
"Biological Science Teachers, Postsecondary",25-1042.00,4,5.12,4,4.38,4,4.75,4.25,4.75,3.12,3.25,4,4,3.88,4.12,4,4.5,4.12,4.38,3.88,3.88,3.25,3.38,3,2.88,2.88,2.88,2.88,2.88,4.12,4.38,3.12,3.12,3.62,3.75,2.38,2.38,1.38,0.38,1.25,0.38,1,0,1.5,0.5,1.75,1,1.12,0.12,1.38,0.62,1.5,0.88,1.62,0.88,1.88,1.38,3.75,4.12,3.12,3.25,3.12,3.25,3.62,3.5,1.75,1.5,1.88,1.75,2.5,2.75
"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,4.12,5,4,4.75,4.12,4.88,4,4.75,3,3.12,3.25,3.38,3.88,4.25,4,4.25,4.12,4.12,3.88,3.88,3.25,3.75,3.12,3,3,2.88,3,2.88,4.25,4.88,3,3,3.88,4,2.38,2.62,1.88,1,1,0,1,0,1.88,1.12,2.12,1.5,2,1.38,1,0,1.62,0.62,1,0,2,1.25,3.25,3.5,3,3,3.12,3.12,3.25,3.25,2,1.75,2,1.75,2.88,3
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,4,5.12,4,4.62,4,4.75,4.75,4.75,3.38,4,4,4.12,4,4.25,3.88,4.25,3.88,4.25,3.62,4.12,3.12,3.62,3,3.12,2.88,3,2.88,3,4,4.25,3,3.25,3.75,3.88,2.38,2.88,1.75,0.75,1,0,1,0,1.88,1,1.75,1,1,0,1,0,1.12,0.12,1,0,1.62,0.75,3.5,4,3.12,3.62,3,3.25,3,3.62,1.75,1.38,2.12,2.12,2.88,2.88
"Chemistry Teachers, Postsecondary",25-1052.00,4.12,5,4,4,4.12,4.88,4.12,5,3.25,3.75,4,4.25,4,4,4,4,4,4,4,4,3.25,3.38,3,3,3,3,2.38,2.38,3.88,4.62,3,3,3.88,4,2.62,3,1.88,1.25,1.62,0.88,1,0,1.88,1.12,2,1.88,1.12,0.25,1.12,0.12,2,1.12,1,0,2.38,2.12,3.62,3.75,3.12,3.25,2.88,3.12,3,3.62,2.12,1.75,2,1.75,2.75,3
"Environmental Science Teachers, Postsecondary",25-1053.00,4.12,5,4,4.25,4,4.75,4.12,4.5,3,3.25,4,4.5,4,4.25,3.88,4.25,4,4.25,3.88,4,3,3.62,3,3.25,2.88,3,2.75,2.88,4,4.38,3,3.12,3.75,3.88,2.5,2.88,1.38,0.38,1,0,1,0,1.38,0.38,1.75,0.88,1,0,1,0,1.38,0.5,1,0,1.88,1.38,3.25,3.88,3.12,3.12,3.12,3.12,3,3.5,1.75,1.5,2,2,2.75,2.88
"Physics Teachers, Postsecondary",25-1054.00,4.12,5,4,4.62,4,5,4.12,5,3.62,4,4.12,4.62,4,4.88,4,4.38,4,4.38,3.62,4,3.12,3.12,3.12,3.12,3,3,2.5,2.5,4.25,4.38,3,3,3.62,4,2.62,2.75,1.62,1,2,1,1,0,1.88,1.12,2,1.62,1.62,0.62,2.12,1.25,2.12,1.5,2.25,1.38,2.12,2.12,3.75,3.88,2.88,3.12,2.88,3,3.25,3.12,2,1.38,2,2,3,3.12
"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,4.25,5,4.12,4.38,4.12,5,4.5,4.88,2.38,3.12,3.88,4,3.88,4.25,4,4.38,4.25,4.25,3.88,4.12,3.38,3.75,3.12,3.12,3,3,3,3,4.12,4.25,3.12,3,3.75,3.88,2.12,2.38,1.5,0.5,1,0,1,0,1.5,0.5,1.12,0.12,1,0,1,0,1,0,1,0,1.38,0.38,3.88,4,3.12,3.38,3.38,3.62,3.62,3.62,1.75,1,1.75,1.38,2.62,3
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,4.25,4.88,4,4.25,4,4.88,4.12,4.75,2,2.12,2.5,2.75,3.88,4.12,4,4,4,4,3.12,3.88,3.38,3.5,3,3,3.12,3.12,2.62,2.38,4.12,3.88,3.12,3,3.88,3.62,2.75,2.75,1.88,1,1,0,1,0,1.75,1,1.38,0.38,1,0,1,0,1,0,1,0,1.5,0.62,3.25,3.62,3.12,3,3.12,3,3.25,3.75,2.12,1.62,2,1.62,2.88,3.12
"Economics Teachers, Postsecondary",25-1063.00,4,4.38,4,4.12,4,4.12,4.12,4.25,3.25,3.75,2.38,2.88,3.88,4.12,3.75,4.12,3.88,4,3,3.62,3,3.5,2.88,3,2.62,2.5,2.38,2.12,4,4.25,2.75,2.75,3.25,3.62,2.62,2.75,1.75,0.75,1,0,1,0,1.88,1.38,1.75,1.12,1,0,1,0,1,0,1,0,1.25,0.25,3.38,3.88,3,3.12,3.12,3.12,2.88,3,1.75,1.12,1.75,0.88,2.75,2.62
"Geography Teachers, Postsecondary",25-1064.00,4,4.75,4,4,4.12,4.88,4.12,4.88,2.75,3,3.12,3.5,3.88,4,3.88,4.12,3.88,3.88,3.12,3.88,3.12,3.25,3,3.38,3,3.12,2.88,3,4.12,4.75,2.88,3,3.88,3.75,2.5,2.5,1.88,1.12,1,0,1,0,2,1.38,1.38,0.5,1,0,1,0,1,0,1,0,1.25,0.38,3.25,3.75,3,3,2.88,3,3.25,3.25,2,1.38,2,1.25,2.88,3
"Political Science Teachers, Postsecondary",25-1065.00,4.12,4.88,4,4,4,4.88,4.62,5,2,2.12,2.38,2.25,3.88,4.12,4,4,3.88,4,3,3.62,3.12,3.5,3.12,3,3.12,3.12,2.88,2.88,4,4.25,3,3.12,3.75,4,2.75,2.88,1.25,0.25,1,0,1,0,1.25,0.25,1.25,0.25,1,0,1,0,1,0,1,0,1.38,0.5,3.25,3.75,2.88,3,2.75,3,3,3.12,1.88,0.88,1.88,1,2.75,2.88
"Psychology Teachers, Postsecondary",25-1066.00,4.12,5,4,4.88,4,5,4.12,5,3,3.25,3.38,4.12,3.88,4.25,3.88,4.62,4.25,5,3.5,3.88,3.75,4.5,3.12,3,2.62,2.88,2.5,2.5,4.12,4.25,3,3,3.75,3.88,2.5,2.25,1.62,0.75,1,0,1,0,1.88,1,1.38,0.38,1,0,1,0,1,0,1,0,1.5,0.5,3.75,4.12,3.12,3.12,3.12,3.25,3,3.5,1.75,0.75,1.88,1,2.88,3
"Sociology Teachers, Postsecondary",25-1067.00,4,4.88,4,4.12,4,4.75,4.62,4.75,2.12,3.25,2.75,3.75,3.75,4.12,3.62,4.38,4,4.88,3.75,3.88,3.62,3.88,2.88,2.88,2.75,2.88,2.62,2.75,4,4.62,3,3,3.12,3.75,2.62,2.5,1.38,0.38,1,0,1,0,1.5,0.5,1.38,0.38,1,0,1,0,1,0,1,0,1.5,0.5,3.25,4,2.88,3.25,2.88,3.25,3.38,3.62,1.62,0.75,1.75,0.88,2.88,2.62
"Health Specialties Teachers, Postsecondary",25-1071.00,4.12,5,4,4.62,4,5,4.12,4.88,3,3,3.25,3.5,4,4.12,4,4,4,4.12,3.62,3.88,3.25,3.62,3.12,3.5,3,3.12,3,3,4.12,4.38,3,3,3.75,4,2.38,2.75,1.38,0.5,1.62,0.62,1,0,1.38,0.5,1.88,1.38,1.62,0.62,1.62,0.75,1.62,0.75,1.62,0.75,2,1.38,3.88,3.88,2.88,2.88,2.88,2.88,3.75,3.88,1.88,1.12,1.88,1.25,2.88,2.88
"Nursing Instructors and Teachers, Postsecondary",25-1072.00,4,5,4,4.62,4,4.88,4.12,4.75,2.88,2.88,2.88,2.75,3.88,4.25,3.88,4,4.12,4.25,3.88,4.12,3.75,4,3.75,4,3.12,3.12,3,3,4.25,5,3.25,3.25,3.62,4,2.38,2.5,1.88,1.12,1.25,0.38,1,0,1.88,1.12,2,2,1.5,0.62,1,0,2,1,1,0,2.12,1.88,3.88,3.88,3.12,3.25,3.12,3.25,3.25,3.75,2,1.62,2,1.75,3,3
"Education Teachers, Postsecondary",25-1081.00,4.25,4.88,4.12,4.62,4,4.88,4.62,4.88,2.12,2.25,2,2,3.75,4,4,4.25,4.12,4.5,3.88,4,3.25,3.62,3,3,2.88,2.88,2.88,2.88,4.12,4.25,3,2.88,3.75,4,2.62,2.62,1.62,0.75,1,0,1,0,1.5,0.5,1.25,0.25,1,0,1,0,1,0,1,0,1.25,0.25,3.12,4,3.12,3.25,3.12,3.25,3.5,3.5,1.88,1.25,2.12,1.88,2.75,3
"Library Science Teachers, Postsecondary",25-1082.00,4.12,5,4,4.62,4,4.75,4.12,4.75,2.25,2.25,2.12,2.12,4,4.12,4,4.38,4,4.38,4,4.12,3.25,3.62,3.12,3.25,2.75,2.75,2.62,2.62,4.25,4.12,3,2.88,3.62,3.75,2,1.62,1.75,0.75,1,0,1,0,1.75,0.75,1.5,0.5,1,0,1,0,1,0,1,0,1.62,0.75,3.25,3.75,3.12,3.38,3.12,3.38,3,3.5,1.75,1.25,1.75,1.38,2.88,2.88
"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,4,4.88,4.12,4.75,4,4.5,4.75,4.88,2,2,1.75,1.5,4.12,4.12,4,4,4,4,3.88,4,3.12,3.75,2.88,3,2.88,3,2.75,2.75,4,4.12,3,3,3.12,3.75,2.62,2.25,1.25,0.38,1,0,1,0,1.38,0.5,1.5,0.5,1,0,1,0,1,0,1,0,1.12,0.12,3.62,3.62,3.12,3.12,2.88,2.88,3.12,3.25,1.5,0.5,1.62,0.62,2.75,2.88
"Law Teachers, Postsecondary",25-1112.00,4.25,5.12,4.25,4.88,4,5,4.62,5,2,2.25,1.62,0.75,4,4.88,4,4.75,4.25,4.5,3.38,3.75,3.12,3.12,3,3,3,3.75,2.88,3.12,4.12,4.38,2.75,3,3.5,3.75,1.88,1.25,1.75,0.75,1,0,1,0,1.75,0.75,1.5,0.5,1,0,1,0,1,0,1,0,1.5,0.5,3.88,4.12,3.12,3.12,3.12,3.5,2.88,3.12,1.25,0.25,1.5,0.62,2.75,2.75
"Social Work Teachers, Postsecondary",25-1113.00,4,4.88,4,4.12,4,4.75,4.62,4.88,2.62,2.62,2.62,2.62,4,4.25,4,4.88,4.25,4.88,3.75,3.88,3.75,3.88,3.5,3.75,2.88,3,2.88,3,4.75,4.88,3.25,3.62,3.75,3.88,2.75,2.88,1.75,0.88,1,0,1,0,1.75,1,1.5,0.5,1,0,1,0,1,0,1,0,1.38,0.5,3.62,4,3.12,3.12,3.12,3.38,3.12,3.62,1.62,0.88,1.88,1.5,2.88,2.88
"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,4,4.62,4,4.12,3.88,4.12,4.62,4.75,2,2.12,1.75,1.12,3.62,3.88,4,4.25,4.12,4.25,3.75,3.88,3.62,3.75,3.12,3.12,2.75,3,2.5,2.75,4.38,4.75,2.88,2.88,3.38,3.38,2.62,2.62,1.62,0.62,1.25,0.25,1.12,0.25,1.38,0.38,1.5,0.5,1.25,0.25,1,0,1,0,1.38,0.5,1.62,0.75,3.25,3.62,3,3,2.88,3,3.62,3.75,1.75,1.5,2,2,2.75,2.88
"Communications Teachers, Postsecondary",25-1122.00,4.12,4.75,4.12,4.12,4,4.62,4.12,4.88,2.12,2.75,2,1.88,3.88,4.12,4,4.25,4,4.5,3.75,3.88,3.25,3.62,3,3,3,3,3,3,4.12,4.62,3,3,3.62,3.5,2.12,2.12,1.62,0.75,1,0,1,0,1.62,0.62,1.75,0.75,1,0,1,0,1,0,1,0,1.38,0.38,3.5,3.88,3,3.12,3,3,3.12,3.38,2,1.5,2.12,1.12,2.88,3
"English Language and Literature Teachers, Postsecondary",25-1123.00,4.75,5,4,4.25,4.25,4.88,4.12,4.75,2,1.88,1.75,0.88,3.75,4,3.88,4,4,5,3.62,4,3.12,3.75,3,3.12,3,3,3,3,4.62,4.38,3.12,3.12,3.25,3.5,2.12,2,1.5,0.5,1,0,1,0,1.38,0.62,1.25,0.25,1,0,1,0,1,0,1,0,1.25,0.25,3.38,3.75,2.88,3,2.88,3,3.12,3.25,1,0,1.5,0.5,3,3
"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,4,4.88,4,4.62,4,4.75,4.12,4.75,2,1.62,1.75,1.38,3.75,3.88,3.88,4,4,4,3.62,3.88,3.25,3.62,3,3,2.75,2.75,2.75,2.75,4,4.12,2.88,3,3.5,3.62,2.38,2.38,1.75,0.88,1,0,1,0,1.75,0.88,1.5,0.5,1,0,1,0,1,0,1,0,1.62,0.75,3.5,3.75,2.75,2.88,2.75,3,3,3.25,1.12,0.12,1.62,0.62,2.62,2.75
"History Teachers, Postsecondary",25-1125.00,4.25,4.75,4,4.12,4.12,4.75,4.5,4.75,2,2,1.88,1.75,3.88,3.88,3.88,4,4.12,4.25,3.62,4,3.25,3.88,3.12,3.12,3,3,3,2.88,4,4.25,3.12,3.12,3.38,3.75,2.5,2.5,1.12,0.25,1,0,1,0,1.25,0.25,1.38,0.38,1,0,1,0,1,0,1,0,1.25,0.25,3.62,3.75,3,3,2.88,3,3.75,3.75,1.75,0.88,1.75,0.75,2.75,3
"Philosophy and Religion Teachers, Postsecondary",25-1126.00,4.25,4.88,4.12,4.38,4,5,4.12,4.75,2,2.12,1.75,1.38,4,4.25,3.75,4.38,3.88,4.62,3.25,3.88,3.38,3.38,3,3,2.88,3.12,2.38,2.5,4.12,4.38,3,3,3.5,3.75,2.38,1.88,1.62,0.62,1,0,1,0,1.75,0.75,1.5,0.5,1,0,1,0,1,0,1,0,1.38,0.38,3.38,3.62,3,3.12,3.12,3.25,3,3,1.25,0.25,1.75,0.88,2.75,2.75
"Family and Consumer Sciences Teachers, Postsecondary",25-1192.00,4,4.62,4,4.25,3.62,4.12,4.12,4.75,2.62,2.88,2.25,2.25,3.75,4,3.62,4.12,4,4.25,3.5,4,3.12,3.25,3,3,2.75,2.88,2.38,2.5,4,4.25,2.88,3,3.12,3.25,2.38,2.25,1.75,0.75,1,0,1,0,1.75,0.75,1.62,0.62,1,0,1,0,1.38,0.38,1,0,1.88,1.38,3.12,3.62,3.12,3.12,3.12,3.25,3,3.12,1.62,0.88,2,1.38,2.62,2.62
"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,4,4.25,4,4,4,4.12,4.12,4.12,2.12,2.62,2.38,2.75,3.88,4,3.38,4,4,4,3.75,4,3.12,3.88,3.12,3.25,3.12,3.12,3,3,4.12,4.25,3,3,3.62,3.38,2.62,2.62,1.88,1,1,0,1,0,1.25,0.38,1.88,1.12,1,0,1,0,1.75,0.75,1,0,2,1.12,3.75,3.88,3.12,3.12,3,3.12,3.75,3.38,2.12,1.38,2,1.25,2.88,2.88
"Career/Technical Education Teachers, Postsecondary",25-1194.00,3.88,3.88,4,4,3.62,4,3.88,4,2.25,2.25,1.88,1,3.75,3.75,3.88,4,4,4,3.62,4,3.25,3.25,3.12,3,3,3,3,3,4,4,3,3,3.25,3.12,2.5,2.62,1.88,1.12,2.25,2.12,1.12,0.25,1.5,0.62,2.38,2.5,2.25,1.88,1.88,1.38,2.25,1.88,1.75,1.25,2.25,2.38,3.25,3,2.75,2.62,2.75,2.88,3,3,2,1.5,2,1.88,2.88,2.88
"Preschool Teachers, Except Special Education",25-2011.00,3.75,3.25,3.88,3.12,3,3,4,3.12,2,1.88,1.62,0.62,3.75,3.12,3.12,3,3.88,4,3.75,3.5,3.75,3.62,3.75,3.62,3,3,2.88,2.88,4,3.25,3.62,3,3,3,1.75,1.38,1.5,0.62,1.38,0.38,1,0,1,0,1.75,1,1,0,1,0,1.75,0.75,1,0,2,1.75,3.12,3,2.5,2,2.75,2.12,3,3,1.5,0.62,2,1.25,2.88,2.88
"Kindergarten Teachers, Except Special Education",25-2012.00,3.88,3.75,4,4,3.25,3.25,4,3.25,2.25,2.25,1.38,0.5,3.25,3.75,3.25,3.12,4,3.88,4,4,4.12,4,3.88,3.38,3.25,3.12,3.12,3.12,4.12,3.25,3.62,3.12,3.38,3.12,1.62,0.88,1.62,0.88,1,0,1,0,1.25,0.5,1.88,1.25,1,0,1,0,1.5,0.62,1,0,1.88,1,3.5,3.12,2.88,3,3,3,3.75,3.25,1.12,0.25,1.75,0.88,3,3
"Elementary School Teachers, Except Special Education",25-2021.00,4,4,4,4,3.88,3.88,4.25,4,2.88,2.75,2.12,1.75,4,4,3.75,3.88,4.12,4.5,3.88,4.25,3.88,4,3.88,3.62,3,3,3,3,4.25,4.12,3.62,3.38,3.25,3.38,2,1.62,1.75,0.88,1.5,0.5,1,0,1.5,0.5,1.75,0.88,1.38,0.38,1,0,1.25,0.25,1,0,2,1.12,3.75,3.62,3.12,3.12,3.12,3.12,3.5,3.38,1.12,0.25,1.75,1,2.75,2.88
"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00,4,4,4,4,4,4,4.12,4,3,3,1.62,0.88,3.62,3.62,3.75,3.88,4,4,3.88,4,4,4,3.62,3.62,3.12,3.12,3.12,3.12,4.12,4,3.38,3.38,3.75,3.12,1.25,0.38,1.62,0.88,1,0,1,0,1.38,0.62,1.88,1,1,0,1,0,1.38,0.38,1,0,1.62,1.12,3.5,3.25,3,3,3,3,3.88,3.5,1.5,0.62,1.75,1,3,3
"Career/Technical Education Teachers, Middle School",25-2023.00,4,4.12,4,4,3.62,3.62,4.12,4,2.5,2.38,1.88,1.38,3.88,3.88,3.5,3.5,4,4,3.88,3.75,3.88,3.88,3.38,3.12,2.88,3,2.75,2.75,4,4,3.25,3.12,3.25,3,2.62,2.62,1.75,0.88,1.62,0.62,1,0,1.75,0.75,2,1.75,1.88,1.62,1.25,0.25,1.88,1.38,1.38,0.38,2,1.88,3.38,3,3,3,3,3.12,3,3,1.75,1.12,2.25,2,2.62,2.62
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,4.12,4,4.12,3.75,3.88,4.12,4.12,2.88,3,2,1.75,3.88,3.88,3.62,3.75,4,4.38,3.88,4.12,3.88,3.88,3.5,3.38,3,3.12,3.12,2.88,4.12,4.12,3.12,3.5,3.5,3.5,1.62,1.25,1.75,0.88,1.38,0.38,1,0,1.75,0.75,1.62,0.62,1.38,0.38,1,0,1,0,1,0,1.88,1.38,3.75,3.62,3.12,3.12,3.12,3.12,3.38,3.38,1.75,0.88,1.88,1.75,2.75,3
"Career/Technical Education Teachers, Secondary School",25-2032.00,4,4.12,4,4.12,3.88,3.88,4,4.12,2.88,3.12,1.75,0.88,3.88,3.88,3.62,3.75,3.88,4,3.88,4,3.75,3.75,3.75,3.62,3.12,3.75,3,3.25,4.12,4.12,3.75,3.5,3.75,3.38,1.38,0.62,1.75,1,1.75,1,1,0,1.75,1,2.25,2,2,1.88,1.62,0.75,2,1.62,1.5,0.62,2,1.62,3.5,3.12,2.88,3,3.12,3.25,3.5,3.38,1.75,0.88,2.25,2,2.75,2.62
"Special Education Teachers, Preschool",25-2051.00,3.88,4.12,4,4.12,3.75,4,4.12,4.25,2.25,2.12,2,1.5,3.88,3.88,3.62,3.75,3.75,4,3.75,4,3.88,4,3.25,3.5,3,3.12,2.88,2.88,3.62,3.25,3.62,3.5,3.25,3.38,1.75,1.25,1.5,0.75,1.12,0.25,1,0,1.75,1,1.75,1.25,1,0,1,0,1.38,0.5,1,0,1.88,1.25,3.38,3.38,3.12,3.25,3.12,3.25,3.12,3,1.25,0.38,1.62,1.12,2.62,2.75
"Special Education Teachers, Middle School",25-2057.00,3.88,4,4,4,3.75,4,4.12,4,2.62,2.75,1.5,0.5,3.88,3.88,4,3.88,4,4.12,3.75,3.88,3.88,4,3.75,3.88,3.25,3.25,3.25,3.12,4.12,4,3.75,3.38,3.62,3.12,1.38,0.62,1.62,1,1.12,0.25,1,0,1.5,0.75,1.5,0.5,1,0,1,0,1,0,1,0,1.38,0.5,3.62,3.25,2.88,3,2.88,3,3.88,3.75,1.38,0.38,1.38,0.38,3,3
"Special Education Teachers, Secondary School",25-2058.00,4,4,4,4,4,4,4,3.88,2.75,2.88,2,1.62,3.75,4,3.38,3.88,4.12,4.75,3.88,4,4,4,3.88,3.62,3.25,3,3,3,4,3.88,4,3.88,3.75,3.25,2.12,2.38,1.75,1,1.12,0.25,1,0,1.75,1,2,1.62,1.12,0.25,1,0,1.38,0.5,1,0,2,1.62,3.62,3.5,2.88,2.62,2.88,2.88,3.75,3.25,2,1,2.12,2,2.75,2.38
Adapted Physical Education Specialists,25-2059.01,3.88,4,4,4.12,3.88,3.88,4,4,2,2,1.5,0.88,3.88,3.88,4,3.88,3.88,4,3.88,3.88,4,4.12,3.5,3.88,3.12,3.62,2.88,3.12,4.12,3.62,3.88,3.75,3.25,3.38,2,2,1.88,1.12,1.12,0.25,1,0,1.25,0.25,2.12,2,1.5,0.5,1,0,1.88,0.88,1,0,2,1.75,3.88,3.88,3,3,3.12,3.25,3.12,3.25,1.5,0.5,1.75,1.38,3,2.88
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011.00,3.75,3.88,3.75,3.75,3.62,3.88,3.75,4,2.62,2.5,1.75,0.62,3.5,3.5,3.5,3.25,3.75,3.88,3.62,3.88,3.5,3.75,3,3.38,2.88,3,3,3.12,4.25,4,3.38,3.12,3.12,3,1.38,0.62,1.88,1.12,1,0,1,0,1.38,0.62,1.88,1.12,1,0,1,0,1,0,1,0,1.12,0.12,3.38,3,2.88,2.88,2.75,2.88,3.25,3.25,1.12,0.12,1.12,0.12,2.62,2.88
Self-Enrichment Teachers,25-3021.00,3.12,3.75,3.38,3.25,3,3.12,3.62,3.62,2,1.62,1.38,0.38,3.12,3.12,3.12,3.12,3.38,3.5,3.12,3.12,3.12,3.25,3,3,2.62,2.88,2.12,2,3.38,3.25,3,3,2.88,2.88,1.88,1.5,1.75,0.75,1,0,1,0,1.75,0.75,1.88,1.38,1.62,0.75,1,0,1.62,0.62,1,0,2,1.25,3,3,2.25,2.12,2.25,2.12,2.88,2.75,1.25,0.25,1.5,0.5,2.5,2.25
Tutors,25-3041.00,4.12,4,4,4,3.62,3.75,4,3.88,2.88,2.5,1.62,0.62,3.75,3.75,3.62,3.5,4,3.88,3.5,3.5,3.75,3.12,3,3,3,3.12,3,2.88,4.12,3.88,3.38,3.12,3.62,3.12,1.75,0.88,1.38,0.5,1,0,1,0,1.38,0.5,1.38,0.5,1,0,1,0,1,0,1,0,1.12,0.25,3.25,3.25,2.5,2.75,2.25,2.75,3.12,3.38,1,0,1.25,0.38,2.75,2.62
Archivists,25-4011.00,4,4,3.88,3.88,4,4,3.25,3.88,2,2.12,2,1.12,3.38,3.88,3.25,3.25,2.88,2.88,3,3.12,2.75,3,3,3,2.75,2.88,2.75,2.62,3,3.12,3.12,3,3.25,3.12,2.12,2.12,1.88,1.25,1,0,1,0,1.75,0.88,2,1.5,1,0,1,0,1.62,0.62,1,0,2,1.5,3.25,3.25,2.88,3.12,2.5,2.88,3.12,3,2,1.88,2.25,2.12,2.88,3
Curators,25-4012.00,4,4.62,3.88,4.25,3.88,4.62,4,4.12,2.88,3,2,1.25,3.75,4.38,3.5,4.12,3.25,3.5,3.38,4,3.25,3.38,3.12,3.75,3,3.62,3,3.38,3,3.38,2.88,3,3.62,3.62,2.38,2.38,1.75,0.88,1.12,0.12,1.12,0.12,1.75,1,1.75,1.25,1.38,0.38,1,0,1.5,0.5,1,0,2.38,2.5,3.5,3.88,3.38,3.38,3.25,3.75,3.12,3.62,2.88,3.62,3,3.75,3,3.62
Museum Technicians and Conservators,25-4013.00,3.62,4.12,3.88,3.88,3.25,3.75,3.62,3.5,2.25,2.5,2.38,2.25,3.25,3.38,3,3.12,2.88,3,3.12,3.25,2.88,3,3,3.12,2.5,2.5,2.5,2.5,3,3.12,2.75,2.75,3.12,3,1.38,0.5,1.88,1.38,1.62,1,1.38,0.5,1.5,0.62,2.5,2,1.75,1.38,1.38,0.38,1.75,1,1.75,0.88,2.38,2.75,3.12,3.12,2.75,2.75,2.75,2.75,2.75,2.88,1.75,1.12,2.12,1.62,2.25,2.12
Librarians and Media Collections Specialists,25-4022.00,3.88,4,3.88,3.88,3.62,3.75,3.88,3.5,2,1.75,1.12,0.25,3.62,3.75,3.25,3,2.88,3.12,3.38,3.38,3.25,3.12,2.88,2.75,2.62,2.62,2.5,2.5,3.12,3.12,3.38,3.25,3,2.62,1.88,1.5,1.62,1.12,1.12,0.38,1.12,0.25,2,1.38,1.75,1.25,1.12,0.38,1.12,0.12,1.25,0.38,1,0,1.38,0.38,3.12,3,2.25,2.25,2.38,2.38,3.12,2.88,2.25,2.75,2.75,2.38,2.62,2.75
